LNG,LAT,Name,Sex,Person
4.913026,52.377242,Kop Oostelijke Handelskade,N,
4.979444,52.316389,Kraaiennest (metrostation),N,
4.8705,52.3162,Kronenburg,N,
4.939841,52.347939,Kruislaan,N,
4.816862,52.346493,Laan v. Vlaanderen,N,
4.882775,52.364113,Leidseplein,N,
4.896683,52.342987,Maasstraat,N,
4.896754,52.377928,Martelaarsgracht,N,
4.774281,52.353952,Matterhorn,N,
4.856944,52.280833,Meent (sneltramhalte),N,
4.81039,52.356411,Meer en Vaart,N,
4.940321,52.3617,Molukkenstraat,N,
4.932761,52.360593,Muiderpoortstation,N,
4.893069,52.367831,Muntplein,N,
4.879727,52.35658,Museumplein,N,
4.879244,52.381108,Nassaukade,N,
4.965686,52.337472,Nic. Lublinkstraat,N,
4.893388,52.376034,Nieuwezijds Kolk,N,
4.901111,52.371944,Nieuwmarkt (metrostation),N,
4.932222,52.401667,Noord (metrostation),N,
4.919167,52.389167,Noorderpark (metrostation),N,
4.866259,52.346316,Olympiaplein,N,
4.858536,52.345243,Olympiaweg,N,
4.87251,52.30806,Onderuit,N,
4.902277,52.360012,Oosteinde,N,
4.87163,52.30272,Oranjebaan,N,
4.803276,52.359347,Osdorpplein,N,
4.8675,52.296111,Ouderkerkerlaan (sneltramhalte),N,
4.9175,52.331667,Overamstel (metrostation),N,
4.875095,52.363081,Overtoom,N,
4.856175,52.357885,Overtoomsesluis,N,
4.917529,52.377015,Passagiers Terminal Amsterdam,N,
4.776905,52.352892,Pilatus,N,
4.917089,52.364578,Plantage Badlaan,N,
4.910872,52.366721,Plantage Kerklaan,N,
4.844722,52.283056,Poortwachter (sneltramhalte),N,
4.85324,52.363761,Postjesweg,N,
4.927393,52.356856,Pretoriusstraat,N,
4.879854,52.366173,Raamplein,N,
4.974167,52.295556,Reigersbos (metrostation),N,
4.934268,52.372943,Rietlandpark,N,
4.892778,52.371111,Rokin (metrostation),N,
4.876,52.3719,Rozengracht,N,
4.807622,52.35961,Ruimzicht,N,
4.999695,52.352857,Ruisrietstraat,N,
4.891215,52.347675,Scheldestraat,N,
4.958718,52.338736,Schoolstraat,N,
4.803999,52.344968,Sloten,N,
4.818917,52.372787,SLOTERMEER,N,
4.820609,52.375448,Slotermeerlaan,N,
4.969682,52.33676,Sniep,N,
4.943798,52.362179,Soembawastraat,N,
4.887131,52.36094,Spiegelgracht,N,
4.835278,52.284722,Spinnerij (sneltramhalte),N,
4.863889,52.290556,Sportlaan (sneltramhalte),N,
4.889247,52.368688,Spui,N,
4.879693,52.36321,Stadhouderskade,N,
4.85758,52.349099,Stadionplein,N,
4.917778,52.346389,Station Amsterdam Amstel,N,
4.946111,52.313056,Station Amsterdam Bijlmer ArenA,N,
4.900556,52.378889,Station Amsterdam Centraal,N,
4.96,52.298333,Station Amsterdam Holendrecht,N,
4.833889,52.357222,Station Amsterdam Lelylaan,N,
4.890556,52.336667,Station Amsterdam RAI,N,
4.838056,52.389167,Station Amsterdam Sloterdijk,N,
4.873056,52.338889,Station Amsterdam Zuid,N,
4.956389,52.330278,Station Diemen Zuid,N,
4.936389,52.323333,Station Duivendrecht,N,
4.890354,52.336675,Station RAI,N,
4.837062,52.388183,Station Sloterdijk,N,
4.873723,52.339173,Station Zuid/WTC,N,
4.980436,52.362985,Steigereiland,N,
4.941389,52.318611,Strandvliet (metrostation),N,
4.852302,52.358061,Surinameplein,N,
4.86919,52.32118,Uilenstede,N,
4.906728,52.342487,Uiterwaardenstraat,N,
4.93,52.33,Van der Madeweg (metrostation),N,
4.99144,52.357248,Vennepluimstraat,N,
4.946389,52.326667,Venserpolder (metrostation),N,
4.905513,52.345794,Victorieplein,N,
4.891111,52.360833,Vijzelgracht (metrostation),N,
4.899378,52.346553,Waalstraat,N,
4.902172,52.367073,Waterlooplein,N,
4.907404,52.361057,Weesperplein,N,
4.884198,52.374013,Westermarkt,N,
4.845525,52.351568,Westlandgracht,N,
4.830556,52.274444,Westwijk (sneltramhalte),N,
4.890832,52.359817,Weteringcircuit,N,
4.85085,52.382828,Wiltzanghlaan,N,
4.932694,52.365813,Zeeburgerdijkdijk,N,
4.87234,52.31181,Zonnestein,N,
4.885334,52.388034,Zoutkeetsgracht,N,
4.961583,52.371996,Zuiderzeeweg,N,
4.954558,52.339599,A. Krijtsstraat,O,
4.861389,52.286944,Marne (sneltramhalte),O,
